SCUOLA_ANONIMO;CLASSE_ANONIMO;STUDENTE_ANONIMO;TIPO_SCUOLA;Grado;genere;mese;anno;luogo;regolarità;origine;luogo_padre;luogo_madre;voto_scritto_ita;voto_orale_ita;voto_scritto_mat;voto_orale_mat;codice_orario;Cod_Reg;Areageo_5;WLE_MAT_200;LIVELLI_WLE_MAT;peso_studente;peso_classe;peso_scuola;ESCS_studente
735;476;9114;1;10;1;8;4;1;1;1;1;1;0;8;0;6;2;11;3;264,0496928;5;18,47428571;3,914285714;4,719708029;0,358784627
735;476;10140;1;10;2;11;4;1;1;1;1;1;0;8;0;10;2;11;3;292,4523072;5;18,47428571;3,914285714;4,719708029;1,568093086
735;476;11179;1;10;1;8;4;1;1;1;1;1;0;6;0;7;2;11;3;262,3404484;5;18,47428571;3,914285714;4,719708029;1,153771795
735;476;11799;1;10;1;5;4;1;1;1;1;1;0;8;0;9;2;11;3;296,0900012;5;18,47428571;3,914285714;4,719708029;-0,750254005
735;476;13342;1;10;1;4;4;1;1;1;1;1;0;6;0;7;2;11;3;255,0556246;5;18,47428571;3,914285714;4,719708029;1,568093086
735;476;13344;1;10;1;2;4;1;1;1;1;1;0;6;0;7;2;11;3;248,1945455;5;18,47428571;3,914285714;4,719708029;1,257098678
735;476;13369;1;10;1;1;4;1;1;1;1;1;0;6;0;6;2;11;3;275,3521404;5;18,47428571;3,914285714;4,719708029;2,264576639
735;476;13614;1;10;1;10;3;3;3;2;4;4;0;7;0;8;2;11;3;245,2402185;5;18,47428571;3,914285714;4,719708029;1,603724744
735;476;13615;1;10;1;4;4;1;1;1;1;1;0;7;0;7;2;11;3;256,3636976;5;18,47428571;3,914285714;4,719708029;0,676714112
735;476;14490;1;10;1;10;4;1;1;1;1;1;0;6;0;8;2;11;3;292,4523072;5;18,47428571;3,914285714;4,719708029;-0,230313703
735;477;441;1;10;1;6;4;1;1;1;1;1;0;8;0;6;2;11;3;229,5266973;4;18,47428571;3,914285714;4,719708029; 
