SCUOLA_ANONIMO;CLASSE_ANONIMO;STUDENTE_ANONIMO;TIPO_SCUOLA;grado;genere;mese;anno;luogo;regolarità;origine;luogo_padre;luogo_madre;voto_scritto_ita;voto_orale_ita;voto_scritto_mat;voto_orale_mat;codice_orario;Cod_Reg;Areageo_5;WLE_ITA_200;LIVELLI_WLE_ITA;peso_studente;peso_classe;peso_scuola;ESCS_studente
734;474;8832;1;10;2;7;4;1;1;1;1;1;0;7;0;6;2;11;3;222,007750331542;4;12,4838709677419;1,03225806451613;12,09375;1,79692918049633
734;474;8833;1;10;2;9;4;1;1;1;1;1;0;6;0;6;2;11;3;196,559273652833;3;12,4838709677419;1,03225806451613;12,09375;-,4392595969489
734;474;8835;1;10;2;7;4;1;1;1;1;1;0;7;0;7;2;11;3;234,579342945372;4;12,4838709677419;1,03225806451613;12,09375;,827394569869098
734;474;12248;1;10;2;2;4;1;1;1;1;1;0;7;0;6;2;11;3;270,950441840765;5;12,4838709677419;1,03225806451613;12,09375;1,13607728601271
734;474;12249;1;10;1;8;4;1;1;1;4;1;0;7;0;6;2;11;3;200,846443951805;3;12,4838709677419;1,03225806451613;12,09375;,341693961455295
734;474;12454;1;10;2;11;4;1;1;1;1;1;0;8;0;9;2;11;3;237,050785252082;4;12,4838709677419;1,03225806451613;12,09375;,965994469776393
734;474;13262;1;10;2;4;4;1;1;1;1;1;0;7;0;6;2;11;3;263,006760037365;5;12,4838709677419;1,03225806451613;12,09375;1,76037779433381
734;474;14493;1;10;2;7;4;1;1;1;1;1;0;8;0;9;2;11;3;251,398411831053;5;12,4838709677419;1,03225806451613;12,09375;,634843369539281
734;474;16939;1;10;1;2;3;1;3;1;1;1;0;6;0;6;2;11;3;195,596844861536;3;12,4838709677419;1,03225806451613;12,09375; 
734;475;2839;1;10;2;10;4;1;1;1;1;1;0;9;0;9;2;11;3;214,072819866665;3;12,4838709677419;1,03225806451613;12,09375;,32180376140009
734;475;3486;1;10;2;3;4;1;1;1;1;1;0;9;0;7;2;11;3;244,894967688906;4;12,4838709677419;1,03225806451613;12,09375;-,459149797004105
734;475;7452;1;10;2;2;4;1;1;1;1;1;0;8;0;8;2;11;3;241,005311836105;4;12,4838709677419;1,03225806451613;12,09375;1,79692918049633
734;475;7453;1;10;2;7;4;1;1;1;1;1;0;6;0;5;2;11;3;166,680896052029;2;12,4838709677419;1,03225806451613;12,09375;,86163426402033
734;475;8338;1;10;1;1;5;1;1;1;1;1;0;8;0;9;2;11;3;266,455479244982;5;12,4838709677419;1,03225806451613;12,09375;,496035319527102
734;475;8831;1;10;2;5;4;1;1;1;1;1;0;8;0;6;2;11;3;236,360855341044;4;12,4838709677419;1,03225806451613;12,09375;1,64489951443582
734;475;8834;1;10;2;11;4;1;1;1;1;1;0;8;0;8;2;11;3;216,251601452099;4;12,4838709677419;1,03225806451613;12,09375;1,25709867787609
734;475;8836;1;10;1;10;4;1;1;1;1;3;0;7;0;6;2;11;3;212,691792729995;3;12,4838709677419;1,03225806451613;12,09375;,704981213937233
734;475;12706;1;10;2;1;4;1;1;3;4;4;0;7;0;5;2;11;3;197,770794320168;3;12,4838709677419;1,03225806451613;12,09375;-,611445955091623
734;475;13343;1;10;1;4;4;1;1;1;1;1;0;6;0;5;2;11;3;210,628708304805;3;12,4838709677419;1,03225806451613;12,09375;1,64027613041323
734;475;13449;1;10;1;1;4;1;1;1;1;4;0;6;0;4;2;11;3;191,051726781167;3;12,4838709677419;1,03225806451613;12,09375;,496035319527102
734;475;15641;1;10;2;1;4;1;1;1;1;1;0;9;0;9;2;11;3;272,778681738525;5;12,4838709677419;1,03225806451613;12,09375;1,25709867787609
734;475;15734;1;10;1;11;4;1;1;1;1;1;0;7;0;6;2;11;3;253,970781978209;5;12,4838709677419;1,03225806451613;12,09375;1,2547869858648
734;475;15812;1;10;2;4;4;1;1;1;1;1;0;6;0;7;2;11;3;200,617753238926;3;12,4838709677419;1,03225806451613;12,09375;1,43595362002568
734;475;15813;1;10;1;11;4;1;1;1;1;1;0;9;0;9;2;11;3;277,183567474809;5;12,4838709677419;1,03225806451613;12,09375; 
735;476;439;1;10;1;8;4;1;1;1;1;1;0;6;0;5;2;11;3;244,923275069242;4;17,9611111111111;3,80555555555556;4,71970802919708;1,74694802818059
735;476;1303;1;10;1;3;4;1;1;1;1;1;0;7;0;8;2;11;3;186,123374136246;3;17,9611111111111;3,80555555555556;4,71970802919708;,357435419619806
735;476;2459;1;10;2;4;4;1;1;1;1;1;0;8;0;9;2;11;3;202,572526266949;3;17,9611111111111;3,80555555555556;4,71970802919708;,323848961384378
735;476;3740;1;10;1;10;4;1;1;1;1;1;0;6;0;8;2;11;3;261,155991558582;5;17,9611111111111;3,80555555555556;4,71970802919708;1,0981339357817
735;476;4585;1;10;1;5;4;1;1;3;2;2;0;7;0;6;2;11;3;227,262618095791;4;17,9611111111111;3,80555555555556;4,71970802919708;-,611445955091623
