SCUOLA_ANONIMO,CLASSE_ANONIMO,STUDENTE_ANONIMO,Grado,genere,anno,mese,luogo,eta,regolarità,origine,freq_asilo_nido,freq_scuola_materna,luogo_padre,titolo_padre,prof_padre,luogo_madre,titolo_madre,prof_madre,voto_scritto_ita,voto_orale_ita,voto_scritto_mat,voto_orale_mat,voto_scritto_eng,voto_orale_eng,codice_orario,Cod_Reg,Areageo_5,WLE_ITA_200,LIVELLI_WLE_ITA,peso_studente,peso_classe,peso_scuola,ESCS_classe,ESCS_studente
81,18,3614,8,2,3,5,1,88,1,1,2,1,1,2,6,1,2,2,0,7,0,8,0,8,1,1,1,199.391543944644,3,9.525,2.2,4.32954545454546,-.0499637046481532, 
81,18,3615,8,1,3,12,1,88,1,1,2,1,1,4,99,1,2,99,0,8,0,9,0,9,1,1,1,222.405814491397,4,9.525,2.2,4.32954545454546,-.0499637046481532,-.539871293898197
81,18,3616,8,2,3,7,1,88,1,1,2,1,1,2,6,1,2,6,0,8,0,7,0,7,1,1,1,224.736723184685,4,9.525,2.2,4.32954545454546,-.0499637046481532,-.92074453406579
81,18,3620,8,1,3,1,1,88,1,1,2,1,1,9,7,1,9,8,0,7,0,8,0,9,1,1,1,306.659772219477,5,9.525,2.2,4.32954545454546,-.0499637046481532,.352578886232095
81,18,3621,8,1,3,10,1,88,1,1,2,1,1,2,6,1,9,7,0,7,0,8,0,8,1,1,1,177.458445054569,2,9.525,2.2,4.32954545454546,-.0499637046481532, 
81,18,3624,8,1,3,8,1,88,1,1,2,1,1,4,8,1,4,6,0,7,0,9,0,8,1,1,1,212.807948766269,3,9.525,2.2,4.32954545454546,-.0499637046481532,-.173238202227931
81,18,3627,8,1,3,6,1,88,1,1,2,1,1,2,6,1,3,2,0,6,0,5,0,6,1,1,1,208.839444713797,3,9.525,2.2,4.32954545454546,-.0499637046481532,-.92292980994962
81,18,3629,8,2,3,5,1,88,1,1,2,1,1,2,8,1,4,99,0,7,0,7,0,7,1,1,1,203.069127843401,3,9.525,2.2,4.32954545454546,-.0499637046481532,-.539871293898197
81,18,3661,8,2,3,1,1,88,1,1,2,1,1,3,7,1,2,2,0,7,0,7,0,8,1,1,1,215.261800084824,4,9.525,2.2,4.32954545454546,-.0499637046481532,-1.11808288532404
81,18,3663,8,1,3,12,1,88,1,1,2,1,1,2,4,1,9,7,0,7,0,8,0,7,1,1,1,215.156173770726,4,9.525,2.2,4.32954545454546,-.0499637046481532,.331471951629174
